swc_name,dangling_branch,root_node_jump,z_jumps,narrow_start,fat_ends,has_all_nonzero_segment_lengths,narrow_neurite_section,single_child,multifurcation,number_of_dendritic_trees_steaming_from_the_soma,number_of_axons,max_branch_order,total_section_length,max_section_length
17545_00091,0,0,0,0,0,0,0,0,0,8,1,23,131394.7362,12720.50195
17545_00092,0,0,0,0,0,0,0,0,0,7,0,68,144269.6389,8700.895508
17545_00094,0,0,0,0,0,0,0,0,0,6,0,15,64060.345,11355.88965
17545_00095,0,0,0,0,0,0,0,0,0,8,0,30,121425.1022,10473.34668
17545_00110,0,0,0,0,0,0,0,0,0,10,1,22,109388.2122,7313.934082
17545_00111,0,0,0,0,0,0,0,0,0,4,0,22,76045.72619,2876.614746
17545_00113,0,0,0,0,0,0,0,0,0,3,0,23,72908.64613,2618.87207
17545_00115,0,0,0,0,0,0,0,0,0,4,1,17,56368.43311,3103.439941
17545_00116,0,0,0,0,0,0,0,0,0,6,1,23,125728.6004,2514.361328
17545_00118,0,0,0,0,0,0,0,0,0,7,1,27,65665.17633,1267.51123
17545_00119,0,0,0,0,0,0,0,0,0,4,1,21,39395.24145,5311.001465
17545_00120,0,0,0,0,0,0,0,0,0,6,1,20,110716.7425,2606.750977
17545_00121,0,0,0,0,0,0,0,0,0,6,0,34,114804.3309,4871.418945
17545_00122,0,0,0,0,0,0,0,0,0,4,1,46,45956.21058,3234.459961
17545_00125,0,0,0,0,0,0,0,0,0,5,1,45,67964.92683,5426.694336
17545_00126,0,0,0,0,0,0,0,0,0,4,1,20,39891.22442,6352.885742
17545_00129,0,0,0,0,0,0,0,0,0,5,1,20,27975.05476,2236.940918
17545_00130,0,0,0,0,0,0,0,0,0,6,1,24,41923.52582,4341.520508
17545_00131,0,0,0,0,0,0,0,0,0,6,1,45,62987.83615,4624.92627
17545_00132,0,0,0,0,0,0,0,0,0,5,1,21,32057.11216,5019.34375
17545_00136,0,0,0,0,0,0,0,0,0,5,1,18,24858.31513,3516.288818
17545_00138,0,0,0,0,0,0,0,0,0,3,1,16,28816.49355,5288.475586
17545_00140,0,0,0,0,0,0,0,0,0,5,1,19,27351.24372,4693.612793
17545_00142,0,0,0,0,0,0,0,0,0,8,1,21,137088.4927,2779.249512
17545_00143,0,0,0,0,0,0,0,0,0,5,0,38,75483.83689,1665.581787
17545_00145,0,0,0,0,0,0,0,0,0,4,1,30,110391.1163,2109.069824
17545_00146,0,0,0,0,0,0,0,0,0,3,1,16,38002.75155,3424.343018
17545_00147,0,0,0,0,0,0,0,0,0,4,1,17,70459.42397,2445.399414
17545_00149,0,0,0,0,0,0,0,0,0,8,1,11,74570.01534,2417.519287
17545_00150,0,0,0,0,0,0,0,0,0,6,0,25,80948.4584,3094.111816
17545_00154,0,0,0,0,0,0,0,0,0,7,0,37,119858.3891,7076.780762
17545_00155,0,0,0,0,0,0,0,0,0,5,1,24,77444.90115,1456.718262
17545_00159,0,0,0,0,0,0,0,0,0,4,1,32,57011.88875,1668.93042
17545_00162,0,0,0,0,0,0,0,0,0,5,1,37,143080.0441,4064.01001
17545_00163,0,0,0,0,0,0,0,0,0,7,1,19,118277.2074,4026.668213
17545_00164,0,0,0,0,0,0,0,0,0,6,0,19,122127.4641,4780.268066
17545_00165,0,0,0,0,0,0,0,0,0,4,1,19,110542.0709,6512.119141
17545_00166,0,0,0,0,0,0,0,0,0,6,1,35,105865.9151,5598.260742
17545_00168,0,0,0,0,0,0,0,0,0,6,1,23,77407.88378,9755.866211
17545_00169,0,0,0,0,0,0,0,0,0,4,0,39,168459.116,4276.57666
17545_00170,0,0,0,0,0,0,0,0,0,6,1,43,166566.5801,16684.84766
17545_00172,0,0,0,0,0,0,0,0,0,6,1,20,72937.15283,12235.20898
17545_00173,0,0,0,0,0,0,0,0,0,7,1,22,107071.6926,6759.685547
17545_00174,0,0,0,0,0,0,0,0,0,8,0,38,94635.42319,4580.386719
17545_00175,0,0,0,0,0,0,0,0,0,5,0,36,174629.5276,7377.758301
17545_00176,0,0,0,0,0,0,0,0,0,6,1,47,172392.5837,15944.58496
17545_00177,0,0,0,0,0,0,0,0,0,2,1,43,159626.8182,6734.016113
17545_00178,0,0,0,0,0,0,0,0,0,8,1,25,170043.3679,4918.246094
17545_00179,0,0,0,0,0,0,0,0,0,7,1,34,166775.8261,20240.35547
17545_00180,0,0,0,0,0,0,0,0,0,5,0,18,167333.7623,12133.64648
17781_00001,0,0,0,0,0,0,0,0,0,7,1,36,333591.7767,6386.474121
17781_00003,0,0,0,0,0,0,0,0,0,3,0,42,353203.825,5437.539063
17781_00004,0,0,0,0,0,0,0,0,0,9,1,12,77853.22354,6417.219727
17781_2184_x15071_y19950,0,0,0,0,0,0,0,0,0,7,1,46,304554.4493,10750.94141
17781_2491_x13559_y38398,0,0,0,0,0,0,0,0,0,8,1,17,130123.326,5015.94043
17781_3668_x9453_y17266,0,0,0,0,0,0,0,0,0,6,1,21,107979.1665,11700.70898
17781_3819_x16144_y41186,0,0,0,0,0,0,0,0,0,6,1,34,309546.6186,3855.774658
17781_4095_x17570_y12460,0,0,0,0,0,0,0,0,0,4,1,27,336791.7477,17237.50391
17781_4710_x13766_y10574,0,0,0,0,0,0,0,0,0,4,1,27,372222.2569,6352.773926
17781_4874_x11466_y11924,0,0,0,0,0,0,0,0,0,3,1,45,321896.3267,5946.977539
17781_5166_x11993_y10858,0,0,0,0,0,0,0,0,0,4,1,17,129840.7257,8716.81543
17781_5361_x17741_y11849,0,0,0,0,0,0,0,0,0,7,1,29,70510.55505,1316.281738
17781_5548_x15772_y8872,0,0,0,0,0,0,0,0,0,3,0,27,287116.3097,10657.95117
17781_5655_x10641_y11102,0,0,0,0,0,0,0,0,0,5,1,35,302915.6609,7280.46875
17781_5894_x11460_y10079,0,0,0,0,0,0,0,0,0,4,1,22,160760.852,10090.12695
17781_6028_x9772_y42888,0,0,0,0,0,0,0,0,0,3,1,17,124352.4326,10665.49805
17781_6202_x7633_y12296,0,0,0,0,0,0,0,0,0,5,1,17,139156.8269,13340.99023
17781_6228_x12697_y8412,0,0,0,0,0,0,0,0,0,5,1,29,278817.2577,9671.224609
17781_6262_x6896_y13574,0,0,0,0,0,0,0,0,0,3,1,24,244456.5553,5360.880859
17781_6270_x9494_y43380,0,0,0,0,0,0,0,0,0,4,1,19,173128.8708,6458.33252
17781_6287_x8230_y11645,0,0,0,0,0,0,0,0,0,3,1,22,208140.963,9729.615234
17781_6325_x14423_y8278,0,0,0,0,0,0,0,0,0,6,1,27,292767.0744,7062.659668
17781_6355_x6443_y33777,0,0,0,0,0,0,0,0,0,4,0,27,82994.93546,8855.71875
17781_6626_x22318_y13682,0,0,0,0,0,0,0,0,0,4,1,16,103210.3109,17223.83203
17781_6627_x22762_y14486,0,0,0,0,0,0,0,0,0,5,1,16,88563.9337,20659.13281
17781_6643_x22317_y12822,0,0,0,0,0,0,0,0,0,6,1,22,158776.0886,15851.6709
17781_6802_x8324_y14113,0,0,0,0,0,0,0,0,0,5,0,27,158152.4699,14268.16406
17781_6866_x8954_y41812,0,0,0,0,0,0,0,0,0,4,1,35,250416.6449,6307.208008
17781_6881_x22248_y12698,0,0,0,0,0,0,0,0,0,5,1,32,242636.3326,10027.47266
17781_7132_x8998_y15272,0,0,0,0,0,0,0,0,0,6,1,25,176929.7381,18402.73828
17781_7281_x18241_y11406,0,0,0,0,0,0,0,0,0,7,1,22,156220.6228,24002.14063
17782_3138_x32805_y18352,0,0,0,0,0,0,0,0,0,7,1,23,372289.5165,16165.11133
17782_3253_x33739_y18314,0,0,0,0,0,0,0,0,0,6,0,20,285079.2119,6356.419434
17782_3284_x11909_y16428,0,0,0,0,0,0,0,0,0,4,1,23,299507.2189,11259.01953
17782_3352_x11384_y16404,0,0,0,0,0,0,0,0,0,7,1,27,558019.6724,18848.53711
17782_3487_x11014_y17041,0,0,0,0,0,0,0,0,0,4,1,30,283413.2992,12670.04199
17782_3651_x35286_y18512,0,0,0,0,0,0,0,0,0,4,1,29,315967.7305,5493.597168
17782_3672_x34784_y19432,0,0,0,0,0,0,0,0,0,5,1,18,257299.0746,21828.09375
17786_00001,0,0,0,0,0,0,0,0,0,3,1,16,53868.51966,10164.58789
17786_00022,0,0,0,0,0,0,0,0,0,6,1,18,56346.86032,12680.2168
17786_00024,0,0,0,0,0,0,0,0,0,5,1,28,79693.9747,4704.256836
17787_00007,0,0,0,0,0,0,0,0,0,5,1,63,52883.78855,2585.366211
17787_00013,0,0,0,0,0,0,0,0,0,6,1,28,43806.80784,2456.93457
17787_00014,0,0,0,0,0,0,0,0,0,8,0,34,54140.70465,3316.5979
17787_00019,0,0,0,0,0,0,0,0,0,5,1,40,56039.25587,3738.487061
17787_00026,0,0,0,0,0,0,0,0,0,6,1,48,52003.6877,1894.253662
17787_00029,0,0,0,0,0,0,0,0,0,9,0,34,43029.40635,1548.587646
17787_00048,0,0,0,0,0,0,0,0,0,5,0,37,41925.2001,7158.145508
17787_00049,0,0,0,0,0,0,0,0,0,4,0,24,39294.58517,3589.78125
17787_00050,0,0,0,0,0,0,0,0,0,4,1,32,59025.50367,3165.867188
17787_4521_x5172_y12873,0,0,0,0,0,0,0,0,0,9,1,56,491318.4849,6769.423828
17787_4690_x4440_y9176,0,0,0,0,0,0,0,0,0,6,1,21,167294.6751,7658.556641
17787_7070_x12739_y1410,0,0,0,0,0,0,0,0,0,7,1,23,81032.53039,3592.613525
17788_3709_x6000_y8213,0,0,0,0,0,0,0,0,0,6,1,15,82482.70696,2865.682617
